title,abstract
AUGMENTED ELEMENT: AN INTERACTIVE AUGMENTED REALITY GAME OF ELEMENTS,"The effectiveness of mobile technology has speedily increased and its usefulness is not only realized in business context but it has also taken education. Mobile game applications have taken the rapid pedagogical changes a leap. Learning through game applications has been proven and supported by different studies. It has also reinforced the need for pedagogical strategies and methodologies evolution adaption. Academicians discover ways to improve educational approaches most especially for the Millennials. This study aims to validate efficiency and effectiveness to the developed mobile educational game with the augmented reality technology to aid the students in learning and understanding Chemistry topic which is Periodic Table of Elements. The researcher conducted fact-finding techniques in order to design and develop the application. Data gathered had been useful for the formulation of the specifications – technical and content. To achieve this goal, the research group developed the system using Vuforia SDK and Unity and utilize MDA Framework for the conceptual framework. This augmented reality mobile game application demonstrates astonishing results through the demonstrated improvement between pre-game and post-game test scores of the students."
AUTOMATED CANTEEN TRANSACTION AND GATE PASS MONITORING USING RFID OF ST. MARY’S MONTESSORI,"The study entitled, “Automated Canteen Transaction and Gate Pass Monitoring using RFID of St. Mary’s Montessori” aimed to develop a system that helps the school to have an automated transaction and gate pass monitoring, and to test and evaluate the developed system. Specifically, it sought to accomplish project context with: (1) How to determine the appropriate evaluation tool for the study? (2) How to evaluate the acceptability of the system with the use of the evaluation tool? (3) How to determine the appropriate hardware devices that should work well with the system? Descriptive Research Method, The technique used is the Survey Method. Devin Kowalczyk says that survey comes in different flavours, it be interviewing people face to face or handing out questionnaires to fill out. Likewise, the system used the Prototype Model to aid in the understanding of end-user requirements, prototypes are built. This prototype is developed based on the currently known requirements. By using this prototype, the client can get an “actual feel” of the system, since the interactions with prototype can enable the client to better understand the requirements of the desired system. Using the Likert Scale, the researchers were able to analyze the data gathered from the questionnaires. Out of 125 including students, teacher, and school staff were given an account on the developed system, only 25 of them accepted to test and evaluate the system. On the Quality Factor which includes seven questions recorded an average rating of 4.63 with an interpretation of Strongly Agree. The Perceived of Ease of Use (PEOU) had an average rating of 4.62 with an interpretation of Strongly Agree. The Experience had an average of 4.66 with an interpretation of Strongly Agree, and the Actual Use had an average rating of 4.72 with an interpretation of Strongly Agree. Based on the evaluation and testing conducted, the overall performance of the system is 4.72 with an interpretation of Strongly Agree; therefore, the research is accepted by the clients."
CCS RESEARCH LAB MONITORING SYSTEM WITH BARCODE SCANNER,"Through innovation, the manual processing of this world become automated and improved. The proposed system assures that a high quality of work is possible. Businesses nowadays are engaged in highly computerized technology to enhance their lifestyle in terms of business. People are used to system that can minimize their jobs and can make their work easier compared before. Computerized system increases day by day. It helps business firm’s makes easier and captures information and generates records and reports easily. Monitoring system would be a great help to employee on providing reliable records o business with comparison of before and the data needed by the business. The researchers conducted an observation and gathered information needed in the study. There are several problems that encounter when handling the manual process there are tear or waterlogged, time consuming, hard retrieval of data because it may misplaced. That’s why the proponents developed asystem entitled “CCS Research Lab Monitoring with Barcode Scanner” which the general objective of the study is to validate the effectiveness of the developed CCS Research Lab which could improve the security and efficiency of the office. Specifically, the objectives aimed to: (1) to develop a testing plan and test the functional requirements for the developed system. (2) To assess the behavioral intention of the users in the developed system by adapting E-LAM by Khan & Tyler thru a survey questionnaire. (3) To develop an implementation plan for the Research and Extension Office. The researchers used the RAD method in the development of the system. The RAD method has been defined as to understand the different phases to a better development of the study. This technique is employed on the study to providing a working model to the users to determine the look and feel and collect the feedback. This feedback and suggestion was used in and developing the study to improve the product. In order to create the system, the researchers used different applications such as Microsoft Visual Studio 2010, XAMPP, Barcode SDK that provide tools and controls to create an effective software. Adobe Photoshop were also used to edit and enhance the graphics of the system. The researchers determined the overall performance of the system; the survey questionnaires were based on the Technology Acceptance Model (TAM) and were distributed to the selected respondents. The researchers distributed the survey questionnaire to the admin, research coordinator, faculty members and students of the CCS LSPU-SCC. The system was tested and evaluated for its performance according to the questions written in survey questionnaire."
CCS-EBASS: COLLEGE OF COMPUTER STUDIES - ELECTRIC BULLETIN ANNOUNCEMENT SYSTEM USING SMS,"Advanced technology helped the lives of people’s communication become easier. It has been greatly used in businesses, education and companies. It helps in disseminating information quickly and more reliable. Bulletin boards and signboards, manually post new announcements and information for the user to be updated. However, sometimes the announcement isn’t noticed by the students. The proponents observed this process and found out what they need to improve for the current system. People are always aware of the never ending evolution in technology. The system aims to develop an automated announcement and information system to help College of Computer Studies in Laguna State Polytechnic University to improve their currently existing modern way of announcing and informing system. The system uses a TV monitor to post announcement. Using this, the students, as well as the other staff can see the announcement. The system will use mobile phones by using SMS to deliver the announcements by informing the students. The proponents followed the descriptive study wherein the method seeks to develop the present system providing a more convenient and efficient way of posting announcements and informing the students as well. The system uses various kinds of research methods in order to provide sufficient data to the study. The fast easy, and reliable distribution of announcements in the school ensures that all messages are directly subjected to the students and inform the guardian as well the proposed system has done its job."
CHECKMATE: A MOBILE SCANNING AND SCORE GENERATING APPLICATION,"Checkmate: A mobile Scanning and Score Generating application is an android application that that would help professors and students in manual checking of test paper and encoding test results to have an instant process by using an android camera phone as a scanner. The study aimed to provide an analysis of principles, patterns of mobile interface design and tactics for solving common mobile development problems, and to produce a new mobile learning application, based on the findings of this study, which offers between students and teachers. In order to establish this study the researchers provide a developmental tools to design and develop the application. The researchers also made use of an algorithm that comparing the size of images used throughout the application at various stages. Android platform has been useful since, it is most widely used today and is very economical. The study has successfully provided an improvement on existing mobile application development by the implementation results show that the application presented is feasible to implement and more accurate than the traditional checking test paper manually. Hence, the researcher conducted this mobile application development study which is considered as a new technology which helped the school to be solve the problem in checking test paper manually."
COLLEGE OF COMPUTER STUDIES FILE SUBMISSION KIOSK,"Technologies growth in this modern generation is rapidly developing. From its old machineries, it has been evolving to a new organize, reliable and more convenient ways. Moreover, softwares or applications also upgrades from time to time. Today social medias also improves its features which make people’s lifestyle easy. One of its best features is how people can send files with just a click of a button. However, without the presence of internet, such file cannot be sent. The broad objective of the study “College of Computer Studies File Submission Kiosk” is to develop and implement a computer system that will help the College of Computer Studies students and faculties to simply send file through a specific person with ease, and also to send SMS notification and to print receipt with time and date stamp for their substantiate purposes. With this kind of kiosk, it would help the student to be punctual in a way that they will send their file on time. The project is effective and useful for the respondents as well as the faculty members. Further recommendation of the projects are; (1) Future developers can further improve the automation of the process of the system. (2) Further expand its features or either or either change it and focus on the enhancement of the study. (3) Use an even more accurate hardware to further improve its use. (4) The researcher recommends to produces a much larger storage area for the submission of files. (5) The researcher recommends to use sticker paper for the receipt to avoid using tape dispenser. (6) The researcher recommends to build a longer period of an implementation plan to assess more of the functionality of the system."
COP: CCS OJT PORTAL,"One of the technology today was the web portal that serve as gateway or main entry point on the internet to specific field-of-interest or an industry. A web portal is designed to help people in disseminating in very easy way. Web portal is a web based application that enables effective student teacher interaction. It is a user friendly, GUI based application that will help users for storing, retrieving and sharing resources online. It provides facilities such as online assignment, uploading and downloading files. The study entitled “CCS OJT Portal” aims to develop a software that would be great help for the students in submitting their OJT submittal on-time and teachers in monitoring their student submittals and delivering announcements. The CCS OJT Portal is a website that can easily access by the student that will take the OJT program in the current school. Most of the students are encountering problems in submitting their on-the-job-training requirements on time because of their schedule. It explain better the current system and the proposed system used to Input Process Output, Sublime Text 3 for creating a website and applications, Mysql for the database. And for the methodology the proponents also used Rapid Application Development (RAD) because it is suitable to our software development methodology techniques to expedite software application development."
CS ONLINE: AN ONLINE CLERICAL SERVICE SYSTEM FOR THE GUIDANCE OFFICE,"In this fast changing modern world, technology has advanced so much that even the simplest of manual tasks can be the basis of an automated system or a device. With such technical capabilities, mankind has made completion of tasks a lot faster because of the said systems or devices. With that said, the researchers of this study came up with a concept of developing an online system for the guidance office of their university where they can store sensitive information more safely and for the students to request documents more easily. The goal of the study is to (a) to develop a web based system that would accommodate the needs of the clients and satisfy them which will then make the office personnel more efficient in terms of their work, (b) to have the developed system be evaluated by the clients to acquire necessary data for the study and determine whether if the developed system is useful to the clients and if it is satisfactory, and (c) to identify what related literatures and studies are the most appropriate for the study. Finally, after developing the system in this study, the researchers asked for the client to evaluate the developed system. In which the researchers concluded that the system developed in this study had positive results and can be of great use not only to the guidance office by having an online records management tool, but also to the students as the requesting of documents can now be done almost anywhere as long as there is Internet connection, as well as having a tool where they can express their grievances about the school and be heard by the correct personnel."
E-BNS: ONLINE BARANGAY NUTRITION SCHOLAR RECORD INFORMATION SYSTEM,"The effectiveness of new technologies has had a significant effect on the way people live and work worldwide. New and emerging technologies challenge the traditional process. This study aims to develop a web-based system with record information system and to aid the BNS and the Head of Municipal Nutrition Action Office in understanding of using the proposed system online record management system. The study helps the client to improve their existing work to web-based system. The researcher conducted an interview form the client to get an information about the children status. The system development the system and explain the program system. Also the computer age nowadays is too easy to them. The results of the research is an Online Information System was tested and evaluated by the BNS and Head Officer in Victoria, Laguna. The researcher recommended the improving of the system. However, that the system can’t determine that has child is dead and also can’t determine the illness by cause of malnutrition. The purpose of this web – based system is to help the BNS and MNAO in easy access of system .To get the status of every child using the system. First, BNS carried the Weighing scale, Height board and Tablet or smartphone. They input the name of a child, the height and weight individually. So the system compute the status automatically and direct to the database. Then the all report are compiled and generated from the result of activities. The researchers believe that the developed system is the solution to their problems that can be used anytime and anywhere using a tablet and strong internet connection. The system is more on modernized both hardware and software so that the Head and BNS can follow in technology today."
E-HEALTH: VICTORIA HEALTH CENTER ONLINE INFORMATION SYSTEM USING SMS NOTIFICATION,"The study entitled, “E-Health: Victoria Health Center Online Information System Using SMS Notification” aimed to develop a website called, a system that shows the important records of the patient. This online system would be useful for the health centers of Victoria, Laguna. The study intends to lessen the work for nurses and doctors, to keep their files for future use, with the help of “E-Health Online Information System of Victoria, Laguna.” Furthermore the study aims to answer these problems. (1) What are the main problems they have encountered by the patients of the health center? (2) What are the difficulties do the health personnel in checking all the information of the patient in health center. (3) How effective is the developed system in securing the information of the health center. The descriptive type of research was used in the study to gather data. The descriptive research describes situations as its name suggest. The existing conditions or situations are being described to come up with improvements. This research design helped the researchers to obtain data concerning the current process of 9 barangays on Health Center in victoria, Laguna, and its suitable for the study as the researchers wanted to know the problems and conflicts the health centers have encountered in their manual process. This design involved the analysis and description of the current system. Using descriptive research design helped the researchers to accomplish the research objectives."
EATSMART: A SMART DINING SYSTEM,"The Study EATSMART: A Smart Dining System to improve the service of the La Carmelita Restaurant not only for them, but also to the other restaurants that facing also those common problems. Researchers managed to solved and gain some solution by enhancing their services, reliable, fast service. We used android tablet in our study that can connect to a local host network to access the system and to send some information in every stations in restaurant. Through this, staffs work will be lessened and they have time to keep in touch with the customers so that they can fell welcome and over-whelmed. To developed and design an Ala Carte called “EATSMART: A Smart Dining System”. "
FACULTY AVAILABILITY AND MONITORING SYSTEM USING SMS TECHNOLOGY,"Technology and its advancements become unstoppable by doing various tasks, one of them is monitoring organizations and offices. The innovation of a monitoring system helps people do their job in a more organized and efficient manner. It continues to improve production and minimizing the difficulty of each task. Technology is often considered as the key to a nation’s economic growth which affects the citizens and the prosperity of the nation. The developed system entitled “Faculty Availability and Monitoring System using SMS Technology” helps the students and faculty of the College of Computer Studies to communicate easily. The first phase of the study aimed to seek for the problems encountered by the students and faculty in the College of Computer Studies with regards to communication, it also involved the process to develop a system that can solve the communication gap between the CCS and faculty members. The study entitled “Faculty Availability and Monitoring System using SMS Technology” was designed to check the availability and schedule of the faculty member in the College of Computer Studies. The system has the features of sending updates, announcements, messages and documents from the CCS Faculty to the students. It also has the capability of sending information and notifications. The system can also be used by the faculty to send announcements and provides the students the schedule of the faculty members. For the security of the system, each faculty was given a unique password to access the system that can be used to create, modify updates and deletion of account."
FAMS: FACULTY ATTENDANCE MANAGEMENT SYSTEM,"Having accurate and easy to access attendance data provides greater insight into faculty productivity and reduces the time involved in processing Daily Time Record (DTR). The research entitled “FAMS: Faculty Attendance Management System” aims to develop a system that will improve the department’s faculty attendance and other related concerns about this study. This study will provide a new way of recording the attendance of the College of Computer Studies (CCS) department in Laguna State Polytechnic University Sta. Cruz Main Campus (LSPU-SCC). It aims to evaluate the software designed for the College of Computer Studies that handles faculty attendance and class monitoring on this type of system. Specifically, it aims: (1) to formulate a testing plan to evaluate the acceptability of the developed software and received usefulness; (2) to evaluate the developed software using questionnaire adapted from Technology Acceptance Model (TAM); (3) to develop an implementation plan which will be applied after the testing of the system. The researchers used descriptive research where the existing conditions were being described in order to come up with improvements. The researchers asked the client regarding the problem they currently encountered through a series of interviews and observation. In developing the system, the researchers used the Prototyping Model for the system development. Various programming languages and development tools were used to develop the study"
FELICIANO DENTAL CLINIC MANAGEMENT SYSTEM WITH SMS NOTIFICATION,"All over the world, every people are trained in their chosen career in every field of endeavor and one of the fastest growing career today is in relation with technology which is applied on every aspect of living even on most of the working place such as dental clinics. Most of our dental clinics today are using computerized system to create more benefits for both dentists and patients including the way of how they schedule appointments of their patients and how users keep records for a good quality of service. One system called Feliciano Dental Clinic Management System with SMS Notification will resolve all the current problems at clinic to promote paperless office that would enable faster and more efficient storage, retrieval and updating of clinic records. The objective of this project is to develop a Feliciano Dental Clinic Management System with SMS Notification that provides information about the patient profile including patient personal detail, patient treatment, patient appointment, patient billing, and inventory management. After analyzing of data thru interview, research, and implementation of the system, the study proved that it gives advantages to the all both users. The developed system was tested on the Feliciano Dental Clinic and let the user’s use the system which provides convenience to them that gives them easier task and increases their productivity. The researchers recommend that after the implementation phase, the future researchers can use the ISO questionnaire to evaluate each function of the system. It was recommended to provide GSM Modem for the faster way of receiving and sending message."
HR ONLINE: AN ONLINE HUMAN RESOURCE MANAGEMENT INFORMATION SYSTEM OF LAGUNA STATE POLYTECHNIC UNIVERSITY SANTA CRUZ CAMPUS,"The study entitled, “HR Online: An Online Human Resource Management of Laguna State Polytechnic University Main Campus” aimed to develop a system which collects and stores personal data sheet and some HR function, and to test and evaluate the developed system. Specifically, it sought to accomplish project context to wit: 1) identify the functional requirements of the human resource management information system; 2) recognize the requirements, if authorizes for the development of the human resource management information system; and 3) determine the appropriate development tool for the study. The researchers used the descriptive method of research. Questionnaires and the black box testing were the instruments used to gather necessary data in order to assess the effectiveness and efficiency of the system developed. Likewise, the system used the Rapid Application Development (RAD) Model as it controls the project progress. Survey questionnaires were formulated which are also anchored on the Technology Acceptance Model (TAM). Using the Likert Scale, the researchers were able to analyze the data gathered from the questionnaires. Out of 26 regular employees who were given an account on the developed system, only 18 employees accepted to test and evaluate the system."
IKNo’SS: INTEGRATED KNOWLEDGE SUPERVISION SYSTEM,"Ever since Magdalena National High School was established they are still looking for unique teaching techniques. Department of education also known as DepEd is promoting the computer subject for junior and senior high school by deploying units of computer to support the educational needs of the students in the said school. Having an overview to the said problems, the school has a limited access of learning materials. The students of Laguna State Polytechnic University, College of computer studies seek to resolve a feasible problems that a students of Magdalena National High school encountered the following problems, having an overview to the said problems that the school has a limited access of information of data the number one problem is unorganized files then some of the students missed their lesson and no handouts that may cause lack of knowledge the tendency students will be late to the discussion because of lack source of handouts, it’s hassle for the students to ask to their classmates to recognize the topic teach by the teachers and to find handouts, the fourth- year students of College of Computer Studies taking BSIT introduced integrated knowledge supervision system or IKNO’SS an E-learning system. The project aims to improve the teaching and learning techniques of Magdalena national high school by developing a system that help students to improve their knowledge in computer and in academic subjects by advance reading and download their handouts or lessons in more convenient way anytime anywhere, do activities online and pass project through cloud."
INFORMATION ASSIMILATION LEARNING TOOL FOR LUMBAN NATIONAL HIGH SCHOOL,"The researchers aimed to develop a system for Lumban National High School entitled “Information Assimilation Learning Tool”, which could be used in teaching for students in the way that they will be interested and be delivered with fun field learning activities in their subjects in school. In this study, the researchers aimed to integrate instruction with technologies and provides student centered learning experience. In effect it will help teachers lessen their burden in making reviews to students on particular subjects. The system is an interactive e-learning which gives students the opportunity to interact with supposed lesson from their subjects and other fields that they tend to find it hard to review with. This system program is interactive and illustrates concepts of attractive design and delivers an approach in study that is easy fun and entertaining. This will allow student to work individually or independently in solving different problems all throughout the system. The researchers used the descriptive method where the existing conditions were brought to describe in order to come up with improvements. The researchers gathered information and asked the client regarding the problems they encountered through interviews and observation. The researchers used the ADDIE model for the development of the system and the appropriate programming language to be used in developing the study."
ITAID: A LAN BASED COURSEWARE FOR COLLEGE OF COMPUTER STUDIES,"Educational Technology (ET) is the efficient organization of any learning system adapting methods, processes, and products to serve identified educational goals. This involves systematic identification of the goals of education, recognition of the diversity of learners’ needs, the contexts in which learning will take place, and the range of provisions needed for each of these. The researchers offered an Educational Technology solution by creating a LAN Based Courseware that would enhance teaching and learning process of students and instructors. Specifically, this study sought to address the following questions: (a) how can the researchers design a user-intuitive courseware intended for the freshmen students? (b) how would the researchers determine the appropriate development tools for the modules and applications to use for designing the courseware? (c) how would the researchers formulate a procedure and guidelines in the implementation of the courseware? The researchers was found out and proved that the system can lessen the effort of the instructor in terms of teaching and monitoring of the student’s activity. The overall experience of the system gives improvement inside the computer laboratory and to determine the overall performance of the system, the researchers used the general weighted mean. The overall performance of the system as perceived by the respondents was presented. And finally, the system can be considered as highly acceptable based on the overall result of the student is 4.15 as agreed while the overall result of the Instructor is 4.45  as agreed that the developed system reached the main objective and functionality."
LABVIEW: LAN-BASED LSPU-SCC CCS LABORATORY ATTENDANCE MONITORING SYSTEM USING FINGER-PRINT BIOMETRIC TECHNOLOGY,"The transformation of technology continuously make the world move faster and easier. The process of the current attendance monitoring in the computer laboratories takes more time and became hustle. That’s why the researchers created a system entitled “Labview: LAN-Based LSPU-SCC CCS Laboratory Attendance Monitoring System using Finger-Print Biometric Technology” this system provides improvements in the terms of functionality, usability and reliability in the process of attendance monitoring by scanning their fingerprints to digital persona for their time in/out and be able to handle lab management and generate report for repair staff, instructors and students. This system also monitor the student’s activity through the use of sequential viewing of the student desktop. After the system testing and implementation, it proved that the system is effective by means of automatically generating the attendance, limiting the use of illicit doing of the students during laboratory class. It also monitor the students who became the last user. The researcher’s recommends to provide a module that can control the student’s desktop to assist them on their work, limiting the use of application to avoid illicit doing and focus on their works and file transfer to easy transfer a file to its student for their laboratory activities. Keywords: technology, monitoring, fingerprints, attendance, laboratory"
LAGUNA SHOPPE: AN E-COMMERCE PLATFORM,"The study entitled “Laguna Shoppe: An E-commerce Platform” was created for the benefit of the Laguna businesses, consumers and especially for the marketers which is the store owners. This study served as a business marketing strategy which focuses on buying and selling of goods in terms of business. The study aimed to design and develop an e-commerce platform for the different store owners within Laguna Province that would help them to sell and advertise their store as well as its products easily. An e-commerce platform can be described as an electronic market where sellers and buyers can communicate and offers its products, services and payments virtually or digitally. The researchers chose an e-commerce platform because it is the type of platform that would be appropriate for the different businesses in Laguna. The researchers used PHP, jQuery, Ajax, CSS, HTML5 and JavaScript as the programming language, for better coding, designing and understanding of the program. The proponents used Xampp as the database, because of it’s compatibility with Xampp and PHP and large amount of data can be integrated into the database without sacrificing the performance and Rapid Application Development as development tool. The researchers came to know that an E-commerce platform was a great help for the Laguna businesses as well as for the marketers and also for the consumers not only internationally but globally. Different registered stores from different town around Laguna Province could advertise their products and the store itself, managing and monitoring their sales. On part of the prospective consumers, they could browse, shop and buy at same time even they are at home."
LDH-INFOKIOSK: LAGUNA DOCTORS HOSPITAL INFORMATION KIOSK,"LDH – InfoKiosk: Laguna Doctors Hospital Information Kiosk was developed by the proponents for the Laguna Doctors Hospital. The proponents developed an information kiosk that served as an electronic helpdesk that would handle visitor’s inquiries and physician appointment information usually that are hard to get. It is done to provide essential hospital information and allow out – patients to set an appointment to physician. The Hospital, also the In – Patients and Out – Patients would benefit upon the completion of the study. The researchers used RAD also known as (Rapid Application Development) to develop the software. It is a step by step process that the researchers followed the following phases such as Requirements Planning, User Design, Construction and Cutover. Visual Basic .NET (VB.Net) and Adobe Photoshop CS6 to design the user interface and program the primary and minor modules of the system. For the system’s database, the researchers used MYSQL management to store, retrieve, update and organized data without any redundancy. This study applied a series of testing and it was found out and proved that the system can lessen the effort of the user in terms of locating rooms and appointments. The overall experience of the system gives improvement inside the hospital. Whereas to determine the overall performance of the system, the researchers used the general weighted mean. The overall performance of the system as perceived by the respondents was presented. And finally, the system can be considered as highly acceptable based on the weighted mean of 4.53."
LPSU-ARCSS: LSPU SOCIAL MEDIA WITH THESIS ARCHIVE,"One of the problems that students encounter when conducting their researches is the unavailability of the materials or peers that can provide them with information that they need for their problems. Communicating with each other has always been an issue. The rise of social media has provided faster ways of communicating with different people around the world instantly. Social media provides ways for people to reach out to their friends, relatives and even strangers around the world. This study aimed to offer a solution that can help the students of LSPU to further their knowledge on their respective researches and problems that they struggle with during their school days by creating a system that will help them communicate with other students and researches of past students. Studying the different social media systems that has existed before can also help in the development of the research. This research provided the necessary tools and methodologies for the development of the social media system that would help the students communicate with their peers to let them discuss and help each other with their problems and improving their existing network of people. A thesis archive will be accessible for the students to browse works of past students for their own use. After conducting the necessary research materials and gathering the right data, the research shows that the best means of creating the social media for students is by making the social media as a website and developing it with the use of the agile software development. The researches then recommended an android application for the better use of the website on mobile phones."
LSPU SCC ASSET MANAGEMENT SYSTEM,"Research is one of the needs in our generation today and consider that research is very helpful in our society, here is the new researchers intended to conduct their research for the research community. The advancement of technology is one of the most important thing in our society today, it brings the necessity about progress as we move along in this computerized world. The manual proves of writing and cabinet storage of papers will be lessening and the data can access and update easily. This study aims to develop an Asset Management System for the Laguna State Polytechnic University using an application from Information Technology. As supported in this study the utilization of modern technology is one of the best way to derive with efficient asset management. Various techniques and methodologies are adapted by the researchers from different Related Literatures and consulted from other IT experts. The researcher recognize that an online web based is capable to support the requirements for the asset management system. The researchers use the Rapid Application Development as the Software Methodology to formulate the specific process for the development and utilize the Black Testing method to test the functionality of the software and assess the validity of the study adapting from the questionnaires of Technology acceptance model. From the results of the different methods used by the researcher, it is proven the study is valid and acceptable by the users."
LSPU SPORTS EQUIPMENT MONITORING SYSTEM USING BIOMETRICS AND SMS NOTIFICATION,"Technology today was growing faster specially a computer technology. Computer technology is advancing rapidly, even explosively. To assess the impacts of information systems, the current state of the technology and where it is heading must be understood. The computer technologies are usually use nowadays in different aspects because it helps a lot in terms of their services. The main objectives of the study is to monitor the equipment in the Sports Development Office. The researchers made a system entitled” LSPU Sports Equipment Monitoring System using Biometrics and SMS Notification” with the use of biometrics, the student will no longer leave his/her ID in the office or with the officer who is assigned in the office. Furthermore, if the students borrowed an equipment, the system will notify the student of Laguna State Polytechnic University and if the teachers is borrowing or reserving an equipment, it will also notify the students and instructors that borrowed the equipment. The overall results of LSPU Sports Equipment Monitoring System using Biometrics and SMS Notification based on different criteria quality factors, perceived of ease of use, experience, behavioral intention, perceived if usefulness, attitude, and actual use. The overall results was gathered from the admin, staff, and students with the results of 4.51 which is verbally interpreted as Strongly Agree. The researchers recommend the LSPU Sports Equipment Monitoring System using Biometrics to improve and add more features in the system. The future researchers may use another tool instead of using Technology Acceptance Model (TAM) for the development of the system."
LSPU WEB-BASED ISO RECORD MANAGEMENT SYSTEM,"Information Technology in this generation is changing rapidly, we are extensively feed up with technology of information all around us. This advancement of technology provides the importance of information technology into a greater value. The study aims to develop a web-based system that manages the ISO documentation and forms and control forms by its header, footer code and revisions. The goal of the study is to (a) develop a module that will help the user to save time for his/her work. It also helps the user and other personnel’s to easily view the ISO forms needed, (b) identify the applicable programming language and database for the developing of a proposed system, (c) to create a survey that will use to evaluate the effectiveness of the proposed system which includes the usability, reliability and functionality. Therefore, after the survey and interview undergone on the locale of the study which is the Laguna State Polytechnic University Santa Cruz Campus to obtain the necessary data to establish the usefulness and effectiveness of the system. Then, the proponents are highly recommended that the people who will use this system has an overall evaluation of highly acceptable. On using Likert Scale, the researchers were able to analyze the data gathered from the questionnaires. The 20 respondent has evaluated and test the developed system. On the Quality Factor which includes seven questions recorded an average rating of 4.43 with an quality factor which is Agree. The Perceived of Ease of Use (PEOU) had an average rating of 4.43 with an interpretation of Agree. The Experience had an average of 4.55 with an interpretation of Strongly Agree, and the Actual Use had an average rating of 4.50 with an interpretation of Agree. Based on the evaluation and testing conducted, the overall performance of the system is 4.48 with an interpretation of Agree; therefore, the research is accepted by the clients."
"LAGUNA STATE POLYTECHNIC UNIVERSITY STA.CRUZ, CAMPUS SAFETY AND SECURITY MANAGEMENT SYSTEM USING BARCODE AND SMS TECHNOLOGY","In today’s generation, safety and security is the major problem in companies, business and establishment and even in the educational facilities. With different tools available, it is hard for the school to monitor the visitors who is entering the school premises. This safety and security management system will enhance the utilization of securing the school facilities and to help the Safety and Security Office in monitoring the visitors. It will act as a guide to every visitors of the school if they are allow to enter the school, if their purpose inside the school is necessarily or not. This study consist of an SMS notification and a barcode reader. The operation of this study starts if there are visitor who is going to enter the school, the admin of the system will going to input the information of the visitor in the system, they will going to ask the visitors purpose inside the school then, the system will automatically send an SMS to the visitors purpose inside the school, the system will automatically display the confirmation of the college dean/teachers if they are going to allow a visitor. This Laguna State Polytechnic University Sta. Cruz, Campus Safety and Security Management System will help the school to monitor the visitors and to have an automated security and safety system. "
MATHRIX ADVENTURE: A MATHEMATICAL ADVENTURE GAMING USING VIRTUAL REALITY APPLICATION,"Education is the most powerful weapon and treasure that anyone cannot give you. This is the most important thing to the life of most people. As technology grows every single day it innovates the world. The developed game entitled “Mathrix Adventure: A Mathematical Adventure Game Using Virtual Reality Application” help the students to enhance their learning in mathematics while they are playing. The first phase of the study to seek for the problems encountered by the students regarding to the skills of the students in solving mathematics. It also involves the process in the developed game that can help the students to better understand the mathematics subject with the use of the game entitled: “Mathrix Adventure: A Mathematical Adventure Game Using Virtual Reality Application”. The study entitled: “Mathrix Adventure: A Mathematical Adventure Game Using Virtual Reality Application” is a mobile application game that served as an additional learning tool game. Although it is a generic game the researchers have target respondents for the game which is the students of the Longos Elementary School with the age of seven to ten years old. The developed game is made up with the cooperation of different software application like Unity, Maya, Monodevelop and Photoshop for the fulfillment for the three dimensional environments.  The developed game consist of seven stages with five levels in each stage and one stage with two levels. If the level of the game increases, the level of difficulty also increases. It is also have a lecture that can help you to understand mathematics. For the Research Methodology the researcher used Rapid Application Development (RAD). RAD has Four Phase the following are: Requirements Planning Phase, User Design Phase, Construction Phase and Cut-Over Phase.	After the developed game we conduct the testing stage at Longos Elementary School, also before the respondent use the game we conduct a pretest and posttest. For the pretest, as they go forward the higher the score the longer the time that the students spent. And for the posttest, after the students used the game the score became higher in shorter time. We can say that this study is significant because of the end result that there’s a big difference in the score and time management of the every children."
